at,poolName,pair,endBlock,priceBaseInQuote,riskScore,riskStatus,trend,deltaScore,events,syncBlock,syncAgeBlocks,flowStatus,flowNetQuote,flowGrossQuote,flowNetPct,flowGrossPct,l1Status,l1NetLiq15Quote,l1Churn15Quote,m1Status,m1BouncePairs,m1ClassicCandidates,m1ReversalPairs,volStatus,volShort,volLong
2026-02-27 08:14:17,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24546999,2038.32632066502,33,ELEVATED,FALLING,-22,,24546994,5,ELEVATED,18322920442,21324888298,0.2518340806382458,0.29309375960232725,OK,0,0,OK,11,0,1,OK,0.00008106579502605905,
2026-02-27 08:14:17,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24546999,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,37,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,0,
2026-02-27 08:14:49,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24547002,2039.0734442680641,33,ELEVATED,FLAT,0,,24546998,4,ELEVATED,24483833461,24483833461,0.26852883836546093,0.26852883836546093,OK,0,0,OK,0,0,0,OK,0.0000520223966076502,
2026-02-27 08:14:49,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24547002,0.030124611575343806,28,ELEVATED,FLAT,0,STATE_STALE,24546964,38,OK,21,21,3.518694770777371e-7,3.518694770777371e-7,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:14:49,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24547002,2038.32632066502,33,ELEVATED,FLAT,0,,24546994,8,ELEVATED,18322920442,21324888298,0.2518340806382458,0.29309375960232725,OK,0,0,OK,11,0,1,OK,0.00008106579502605905,
2026-02-27 08:14:49,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24547002,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,40,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,0,
2026-02-27 08:15:21,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24547004,2039.0734442680641,33,ELEVATED,FLAT,0,,24546998,6,ELEVATED,24483833461,24483833461,0.26852883836546093,0.26852883836546093,OK,0,0,OK,0,0,0,OK,0.0000520223966076502,
2026-02-27 08:15:21,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24547004,0.030124611575343806,28,ELEVATED,FLAT,0,STATE_STALE,24546964,40,OK,21,21,3.518694770777371e-7,3.518694770777371e-7,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:15:21,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24547004,2038.3127222894875,33,ELEVATED,FLAT,0,,24547003,1,ELEVATED,18273687211,21324121529,0.25115824525837516,0.2930841971332449,OK,0,0,OK,12,0,1,OK,0.000003335682995032735,
2026-02-27 08:15:21,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24547004,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,42,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,0,
2026-02-27 08:16:37,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24547011,2039.091692720309,33,ELEVATED,FLAT,0,,24547007,4,ELEVATED,24519377210,24519377210,0.26891746278143996,0.26891746278143996,OK,0,0,OK,0,0,0,OK,,
2026-02-27 08:16:37,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24547011,0.030124611575343806,28,ELEVATED,FLAT,0,STATE_STALE,24546964,47,OK,21,21,3.518694770777371e-7,3.518694770777371e-7,OK,0,0,OK,0,0,0,OK,,
2026-02-27 08:16:37,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24547011,2038.3127222894875,55,HIGH,FLAT,0,MEV_SWARM,24547003,8,ELEVATED,18269687211,21320121529,0.2511032682321498,0.29302922010701954,OK,0,0,HIGH,12,0,1,OK,,
